event_time;action;actor;target_user;result;system;source
2025-01-09 13:43:12;GROUP_REMOVE;sokolov_pp;smirnov_iv;FAIL;DC-01;AD
2025-01-09 17:20:06;GROUP_ADD;admin_it;kuznetsova_oa;OK;JUMP-01;AD
2025-01-09 17:14:44;PASSWORD_RESET;tech_ot;svc_backup;OK;FS-01;AD
2025-01-08 11:55:10;GROUP_ADD;admin_it;petrova_ns;OK;DC-01;AD
2025-01-08 11:42:34;GROUP_ADD;svc_backup;svc_backup;FAIL;APP-ERP-01;IAM
2025-01-08 15:14:33;CREATE_ACCOUNT;ivanov_aa;ivanov_aa;FAIL;FS-01;AD
2025-01-08 18:06:04;LOGIN_FAIL;petrova_ns;petrova_ns;FAIL;APP-ERP-01;IAM
2025-01-08 21:29:44;DISABLE_ACCOUNT;admin_it;tech_ot;OK;JUMP-01;AD
2025-01-08 19:27:56;CREATE_ACCOUNT;ivanov_aa;svc_backup;OK;DC-01;PAM
2025-01-08 16:48:19;GROUP_ADD;sokolov_pp;svc_backup;FAIL;JUMP-01;AD
2025-01-08 08:30:37;ACCOUNT_LOCK;petrova_ns;ivanov_aa;OK;FS-01;AD
2025-01-09 18:32:17;GROUP_ADD;tech_ot;admin_it;FAIL;MAIL-01;PAM
2025-01-09 20:45:31;GROUP_ADD;admin_it;smirnov_iv;OK;FS-01;PAM
2025-01-09 14:13:45;GROUP_REMOVE;petrova_ns;kuznetsova_oa;FAIL;MAIL-01;AD
2025-01-09 16:47:15;LOGIN_SUCCESS;petrova_ns;petrova_ns;OK;JUMP-01;AD
2025-01-08 11:55:12;GROUP_ADD;admin_it;petrova_ns;OK;DC-01;AD
2025-01-09 23:37:19;LOGIN_SUCCESS;ivanov_aa;petrova_ns;FAIL;MAIL-01;AD
2025-01-09 14:43:33;CREATE_ACCOUNT;svc_backup;tech_ot;FAIL;FS-01;IAM
2025-01-10 07:00:49;GROUP_REMOVE;tech_ot;smirnov_iv;OK;APP-ERP-01;PAM
2025-01-08 19:02:57;PASSWORD_RESET;ivanov_aa;petrova_ns;FAIL;MAIL-01;AD
2025-01-09 01:10:03;ACCOUNT_LOCK;kuznetsova_oa;svc_backup;OK;APP-ERP-01;AD
2025-01-10 00:02:49;LOGIN_FAIL;ivanov_aa;admin_it;FAIL;APP-ERP-01;PAM
2025-01-10 04:28:10;ACCOUNT_LOCK;petrova_ns;sokolov_pp;FAIL;APP-ERP-01;IAM
2025-01-09 14:12:41;LOGIN_FAIL;kuznetsova_oa;kuznetsova_oa;OK;DC-01;PAM
2025-01-10 02:38:41;GROUP_ADD;sokolov_pp;kuznetsova_oa;FAIL;JUMP-01;AD
2025-01-10 04:57:52;DISABLE_ACCOUNT;admin_it;svc_backup;OK;APP-ERP-01;AD
2025-01-09 20:19:48;PASSWORD_RESET;tech_ot;tech_ot;OK;JUMP-01;PAM
2025-01-09 13:48:37;GROUP_ADD;admin_it;tech_ot;FAIL;JUMP-01;IAM
2025-01-10 02:17:31;GROUP_REMOVE;tech_ot;smirnov_iv;FAIL;MAIL-01;IAM
2025-01-08 17:41:32;CREATE_ACCOUNT;sokolov_pp;petrova_ns;FAIL;JUMP-01;PAM
2025-01-09 05:34:57;GROUP_ADD;tech_ot;ivanov_aa;OK;DC-01;PAM
